UYEISYERI_ID_MASK,mcc,district_id,degree,betweenness,closeness,eigenvector,mcc_diversity,geo_diversity
27749417,5541,123,280,8.54E-06,0.516563394,0.004973371,2.308196944,2.696904387
27749470,5541,123,1568,0.000500767,0.610219595,0.024399122,2.348154793,3.231036404
27752596,5541,81,546,3.70E-05,0.533472803,0.008915317,2.189457114,2.924421167
27753537,5541,12,1146,0.000202864,0.576003189,0.018407442,2.296360485,3.243903426
27753538,5541,34,848,9.79E-05,0.55399361,0.014308331,2.265029933,3.195995297
27755194,5541,84,2327,0.001430219,0.68321513,0.033527667,2.351919208,3.395735473
27755217,5541,2,1933,0.000854969,0.643270515,0.028538875,2.311870036,3.361916355
27755229,5541,2,1420,0.000424713,0.597848573,0.021871037,2.264913616,3.266037676
27755562,5541,88,1050,0.000204436,0.568822989,0.016278035,2.332550308,3.254201732
27755636,5541,42,684,8.61E-05,0.542621104,0.010475014,2.131635459,3.138326504
27755675,5691,120,940,0.000228069,0.56065701,0.012696437,2.230645951,3.089914541
27756920,5541,77,544,3.74E-05,0.533275926,0.009255356,2.077934879,3.243028973
27757454,5541,79,1186,0.000274766,0.579080951,0.018004777,2.224499437,3.324239655
27757547,5411,79,224,6.27E-06,0.513078471,0.004056195,2.206161077,2.743792794
27757746,5541,70,960,0.00013524,0.562038117,0.016039255,2.263527076,3.256352077
27760701,5541,70,1080,0.000222665,0.571071005,0.016711308,2.304538536,3.296507688
